n,p,char_len
282,0.03529411764705882,3
267,0.03341677096370463,3
180,0.02252816020025031,1
155,0.01939924906132666,2
146,0.018272841051314142,2
134,0.016770963704630788,2
121,0.015143929912390488,1
108,0.013516896120150187,2
100,0.012515644555694618,3
93,0.011639549436795994,4
88,0.011013767209011264,5
81,0.010137672090112642,5
78,0.009762202753441803,3
73,0.009136420525657071,2
66,0.008260325406758449,4
64,0.008010012515644555,4
59,0.007384230287859825,4
58,0.007259073842302879,2
57,0.007133917396745932,4
56,0.007008760951188986,3
53,0.006633291614518148,4
50,0.006257822277847309,3
50,0.006257822277847309,2
50,0.006257822277847309,3
50,0.006257822277847309,2
47,0.0058823529411764705,4
46,0.005757196495619525,4
44,0.005506883604505632,3
44,0.005506883604505632,2
41,0.005131414267834793,3
40,0.0050062578222778474,2
39,0.0048811013767209015,4
38,0.004755944931163955,3
37,0.004630788485607009,4
36,0.004505632040050063,3
36,0.004505632040050063,4
35,0.004380475594493116,4
34,0.00425531914893617,4
34,0.00425531914893617,3
34,0.00425531914893617,1
31,0.0038798498122653317,4
31,0.0038798498122653317,6
31,0.0038798498122653317,3
31,0.0038798498122653317,5
30,0.0037546933667083854,5
29,0.0036295369211514395,4
29,0.0036295369211514395,4
28,0.003504380475594493,3
28,0.003504380475594493,4
28,0.003504380475594493,5
28,0.003504380475594493,4
28,0.003504380475594493,2
28,0.003504380475594493,2
27,0.003379224030037547,3
27,0.003379224030037547,4
27,0.003379224030037547,4
26,0.003254067584480601,4
26,0.003254067584480601,3
26,0.003254067584480601,3
26,0.003254067584480601,4
25,0.0031289111389236545,6
23,0.0028785982478097623,3
23,0.0028785982478097623,4
22,0.002753441802252816,4
22,0.002753441802252816,2
22,0.002753441802252816,4
22,0.002753441802252816,2
21,0.0026282853566958696,2
21,0.0026282853566958696,4
21,0.0026282853566958696,4
20,0.0025031289111389237,4
20,0.0025031289111389237,4
20,0.0025031289111389237,2
20,0.0025031289111389237,2
19,0.0023779724655819774,3
19,0.0023779724655819774,10
19,0.0023779724655819774,4
19,0.0023779724655819774,3
19,0.0023779724655819774,6
19,0.0023779724655819774,3
18,0.0022528160200250315,3
18,0.0022528160200250315,4
18,0.0022528160200250315,5
18,0.0022528160200250315,5
18,0.0022528160200250315,4
17,0.002127659574468085,4
17,0.002127659574468085,3
17,0.002127659574468085,5
17,0.002127659574468085,4
17,0.002127659574468085,4
17,0.002127659574468085,3
17,0.002127659574468085,1
17,0.002127659574468085,2
16,0.002002503128911139,4
16,0.002002503128911139,4
16,0.002002503128911139,4
16,0.002002503128911139,3
16,0.002002503128911139,6
16,0.002002503128911139,8
15,0.0018773466833541927,6
15,0.0018773466833541927,4
15,0.0018773466833541927,3
14,0.0017521902377972466,3
14,0.0017521902377972466,5
14,0.0017521902377972466,5
14,0.0017521902377972466,4
14,0.0017521902377972466,4
14,0.0017521902377972466,6
14,0.0017521902377972466,4
14,0.0017521902377972466,5
13,0.0016270337922403004,4
13,0.0016270337922403004,3
13,0.0016270337922403004,3
13,0.0016270337922403004,3
12,0.001501877346683354,5
12,0.001501877346683354,5
12,0.001501877346683354,4
12,0.001501877346683354,3
12,0.001501877346683354,5
12,0.001501877346683354,6
12,0.001501877346683354,2
12,0.001501877346683354,4
12,0.001501877346683354,5
12,0.001501877346683354,5
12,0.001501877346683354,6
12,0.001501877346683354,3
12,0.001501877346683354,4
12,0.001501877346683354,4
12,0.001501877346683354,4
12,0.001501877346683354,5
12,0.001501877346683354,2
11,0.001376720901126408,3
11,0.001376720901126408,4
11,0.001376720901126408,5
11,0.001376720901126408,3
11,0.001376720901126408,2
11,0.001376720901126408,6
11,0.001376720901126408,4
11,0.001376720901126408,4
10,0.0012515644555694619,4
10,0.0012515644555694619,3
10,0.0012515644555694619,5
10,0.0012515644555694619,5
10,0.0012515644555694619,4
10,0.0012515644555694619,5
10,0.0012515644555694619,5
10,0.0012515644555694619,6
10,0.0012515644555694619,5
10,0.0012515644555694619,3
10,0.0012515644555694619,4
10,0.0012515644555694619,4
10,0.0012515644555694619,5
10,0.0012515644555694619,2
10,0.0012515644555694619,2
10,0.0012515644555694619,4
9,0.0011264080100125157,5
9,0.0011264080100125157,4
9,0.0011264080100125157,5
9,0.0011264080100125157,6
9,0.0011264080100125157,5
9,0.0011264080100125157,7
9,0.0011264080100125157,3
9,0.0011264080100125157,3
9,0.0011264080100125157,4
9,0.0011264080100125157,4
9,0.0011264080100125157,5
8,0.0010012515644555694,5
8,0.0010012515644555694,4
8,0.0010012515644555694,4
8,0.0010012515644555694,4
8,0.0010012515644555694,5
8,0.0010012515644555694,6
8,0.0010012515644555694,6
8,0.0010012515644555694,5
8,0.0010012515644555694,3
8,0.0010012515644555694,9
8,0.0010012515644555694,4
8,0.0010012515644555694,5
8,0.0010012515644555694,3
8,0.0010012515644555694,4
8,0.0010012515644555694,2
8,0.0010012515644555694,5
8,0.0010012515644555694,4
8,0.0010012515644555694,6
8,0.0010012515644555694,4
8,0.0010012515644555694,4
8,0.0010012515644555694,11
8,0.0010012515644555694,4
8,0.0010012515644555694,4
7,0.0008760951188986233,4
7,0.0008760951188986233,7
7,0.0008760951188986233,4
7,0.0008760951188986233,10
7,0.0008760951188986233,2
7,0.0008760951188986233,5
7,0.0008760951188986233,5
7,0.0008760951188986233,2
7,0.0008760951188986233,3
7,0.0008760951188986233,2
7,0.0008760951188986233,2
7,0.0008760951188986233,7
7,0.0008760951188986233,4
7,0.0008760951188986233,5
7,0.0008760951188986233,4
7,0.0008760951188986233,7
7,0.0008760951188986233,3
7,0.0008760951188986233,4
6,0.000750938673341677,5
6,0.000750938673341677,6
6,0.000750938673341677,4
6,0.000750938673341677,7
6,0.000750938673341677,5
6,0.000750938673341677,4
6,0.000750938673341677,5
6,0.000750938673341677,6
6,0.000750938673341677,5
6,0.000750938673341677,6
6,0.000750938673341677,3
6,0.000750938673341677,5
6,0.000750938673341677,3
6,0.000750938673341677,7
6,0.000750938673341677,3
6,0.000750938673341677,7
6,0.000750938673341677,6
6,0.000750938673341677,3
6,0.000750938673341677,4
6,0.000750938673341677,5
6,0.000750938673341677,6
6,0.000750938673341677,5
6,0.000750938673341677,3
6,0.000750938673341677,4
6,0.000750938673341677,4
6,0.000750938673341677,2
6,0.000750938673341677,5
6,0.000750938673341677,3
6,0.000750938673341677,5
6,0.000750938673341677,6
6,0.000750938673341677,4
6,0.000750938673341677,7
6,0.000750938673341677,4
6,0.000750938673341677,5
6,0.000750938673341677,4
6,0.000750938673341677,4
6,0.000750938673341677,5
6,0.000750938673341677,4
6,0.000750938673341677,4
6,0.000750938673341677,6
5,0.0006257822277847309,3
5,0.0006257822277847309,7
5,0.0006257822277847309,4
5,0.0006257822277847309,4
5,0.0006257822277847309,3
5,0.0006257822277847309,3
5,0.0006257822277847309,6
5,0.0006257822277847309,6
5,0.0006257822277847309,5
5,0.0006257822277847309,2
5,0.0006257822277847309,12
5,0.0006257822277847309,5
5,0.0006257822277847309,3
5,0.0006257822277847309,3
5,0.0006257822277847309,3
5,0.0006257822277847309,3
5,0.0006257822277847309,5
5,0.0006257822277847309,6
5,0.0006257822277847309,4
5,0.0006257822277847309,4
5,0.0006257822277847309,3
5,0.0006257822277847309,7
5,0.0006257822277847309,4
5,0.0006257822277847309,4
5,0.0006257822277847309,3
5,0.0006257822277847309,4
5,0.0006257822277847309,4
5,0.0006257822277847309,4
5,0.0006257822277847309,4
5,0.0006257822277847309,4
5,0.0006257822277847309,4
5,0.0006257822277847309,4
5,0.0006257822277847309,4
5,0.0006257822277847309,5
5,0.0006257822277847309,6
5,0.0006257822277847309,2
4,0.0005006257822277847,4
4,0.0005006257822277847,3
4,0.0005006257822277847,6
4,0.0005006257822277847,4
4,0.0005006257822277847,5
4,0.0005006257822277847,5
4,0.0005006257822277847,6
4,0.0005006257822277847,6
4,0.0005006257822277847,21
4,0.0005006257822277847,9
4,0.0005006257822277847,3
4,0.0005006257822277847,5
4,0.0005006257822277847,4
4,0.0005006257822277847,4
4,0.0005006257822277847,5
4,0.0005006257822277847,3
4,0.0005006257822277847,6
4,0.0005006257822277847,3
4,0.0005006257822277847,6
4,0.0005006257822277847,3
4,0.0005006257822277847,4
4,0.0005006257822277847,5
4,0.0005006257822277847,6
4,0.0005006257822277847,5
4,0.0005006257822277847,5
4,0.0005006257822277847,3
4,0.0005006257822277847,4
4,0.0005006257822277847,5
4,0.0005006257822277847,5
4,0.0005006257822277847,3
4,0.0005006257822277847,4
4,0.0005006257822277847,4
4,0.0005006257822277847,5
4,0.0005006257822277847,4
4,0.0005006257822277847,5
4,0.0005006257822277847,5
4,0.0005006257822277847,3
4,0.0005006257822277847,5
4,0.0005006257822277847,4
4,0.0005006257822277847,8
4,0.0005006257822277847,6
4,0.0005006257822277847,5
4,0.0005006257822277847,4
4,0.0005006257822277847,3
4,0.0005006257822277847,3
4,0.0005006257822277847,4
4,0.0005006257822277847,7
4,0.0005006257822277847,6
4,0.0005006257822277847,3
4,0.0005006257822277847,4
4,0.0005006257822277847,5
4,0.0005006257822277847,3
4,0.0005006257822277847,6
4,0.0005006257822277847,4
4,0.0005006257822277847,5
4,0.0005006257822277847,5
4,0.0005006257822277847,5
4,0.0005006257822277847,2
4,0.0005006257822277847,7
4,0.0005006257822277847,8
4,0.0005006257822277847,5
4,0.0005006257822277847,5
4,0.0005006257822277847,3
4,0.0005006257822277847,3
4,0.0005006257822277847,5
4,0.0005006257822277847,6
4,0.0005006257822277847,3
4,0.0005006257822277847,10
4,0.0005006257822277847,5
4,0.0005006257822277847,5
4,0.0005006257822277847,5
4,0.0005006257822277847,3
4,0.0005006257822277847,5
4,0.0005006257822277847,7
4,0.0005006257822277847,5
4,0.0005006257822277847,5
4,0.0005006257822277847,5
4,0.0005006257822277847,4
4,0.0005006257822277847,4
4,0.0005006257822277847,3
4,0.0005006257822277847,7
4,0.0005006257822277847,5
4,0.0005006257822277847,5
4,0.0005006257822277847,5
4,0.0005006257822277847,2
4,0.0005006257822277847,5
4,0.0005006257822277847,4
4,0.0005006257822277847,3
3,0.0003754693366708385,5
3,0.0003754693366708385,4
3,0.0003754693366708385,5
3,0.0003754693366708385,4
3,0.0003754693366708385,4
3,0.0003754693366708385,4
3,0.0003754693366708385,2
3,0.0003754693366708385,4
3,0.0003754693366708385,8
3,0.0003754693366708385,4
3,0.0003754693366708385,6
3,0.0003754693366708385,3
3,0.0003754693366708385,13
3,0.0003754693366708385,4
3,0.0003754693366708385,7
3,0.0003754693366708385,7
3,0.0003754693366708385,4
3,0.0003754693366708385,7
3,0.0003754693366708385,8
3,0.0003754693366708385,7
3,0.0003754693366708385,4
3,0.0003754693366708385,7
3,0.0003754693366708385,5
3,0.0003754693366708385,5
3,0.0003754693366708385,6
3,0.0003754693366708385,3
3,0.0003754693366708385,6
3,0.0003754693366708385,9
3,0.0003754693366708385,8
3,0.0003754693366708385,7
3,0.0003754693366708385,7
3,0.0003754693366708385,5
3,0.0003754693366708385,4
3,0.0003754693366708385,4
3,0.0003754693366708385,6
3,0.0003754693366708385,3
3,0.0003754693366708385,5
3,0.0003754693366708385,4
3,0.0003754693366708385,2
3,0.0003754693366708385,4
3,0.0003754693366708385,4
3,0.0003754693366708385,3
3,0.0003754693366708385,5
3,0.0003754693366708385,5
3,0.0003754693366708385,4
3,0.0003754693366708385,4
3,0.0003754693366708385,4
3,0.0003754693366708385,4
3,0.0003754693366708385,5
3,0.0003754693366708385,8
3,0.0003754693366708385,6
3,0.0003754693366708385,2
3,0.0003754693366708385,5
3,0.0003754693366708385,5
3,0.0003754693366708385,3
3,0.0003754693366708385,5
3,0.0003754693366708385,8
3,0.0003754693366708385,6
3,0.0003754693366708385,3
3,0.0003754693366708385,7
3,0.0003754693366708385,5
3,0.0003754693366708385,5
3,0.0003754693366708385,3
3,0.0003754693366708385,4
3,0.0003754693366708385,5
3,0.0003754693366708385,5
3,0.0003754693366708385,7
3,0.0003754693366708385,4
3,0.0003754693366708385,4
3,0.0003754693366708385,4
3,0.0003754693366708385,6
3,0.0003754693366708385,5
3,0.0003754693366708385,5
3,0.0003754693366708385,7
3,0.0003754693366708385,6
3,0.0003754693366708385,4
3,0.0003754693366708385,6
3,0.0003754693366708385,3
3,0.0003754693366708385,5
3,0.0003754693366708385,6
3,0.0003754693366708385,14
3,0.0003754693366708385,3
3,0.0003754693366708385,4
3,0.0003754693366708385,5
3,0.0003754693366708385,4
3,0.0003754693366708385,7
3,0.0003754693366708385,2
3,0.0003754693366708385,6
3,0.0003754693366708385,5
3,0.0003754693366708385,4
3,0.0003754693366708385,3
2,0.00025031289111389235,6
2,0.00025031289111389235,4
2,0.00025031289111389235,8
2,0.00025031289111389235,5
2,0.00025031289111389235,6
2,0.00025031289111389235,6
2,0.00025031289111389235,6
2,0.00025031289111389235,3
2,0.00025031289111389235,7
2,0.00025031289111389235,4
2,0.00025031289111389235,5
2,0.00025031289111389235,3
2,0.00025031289111389235,5
2,0.00025031289111389235,7
2,0.00025031289111389235,4
2,0.00025031289111389235,3
2,0.00025031289111389235,9
2,0.00025031289111389235,8
2,0.00025031289111389235,4
2,0.00025031289111389235,5
2,0.00025031289111389235,4
2,0.00025031289111389235,6
2,0.00025031289111389235,4
2,0.00025031289111389235,4
2,0.00025031289111389235,9
2,0.00025031289111389235,5
2,0.00025031289111389235,3
2,0.00025031289111389235,4
2,0.00025031289111389235,4
2,0.00025031289111389235,7
2,0.00025031289111389235,6
2,0.00025031289111389235,6
2,0.00025031289111389235,5
2,0.00025031289111389235,9
2,0.00025031289111389235,6
2,0.00025031289111389235,7
2,0.00025031289111389235,4
2,0.00025031289111389235,7
2,0.00025031289111389235,9
2,0.00025031289111389235,5
2,0.00025031289111389235,4
2,0.00025031289111389235,7
2,0.00025031289111389235,9
2,0.00025031289111389235,4
2,0.00025031289111389235,8
2,0.00025031289111389235,5
2,0.00025031289111389235,6
2,0.00025031289111389235,6
2,0.00025031289111389235,5
2,0.00025031289111389235,4
2,0.00025031289111389235,5
2,0.00025031289111389235,6
2,0.00025031289111389235,7
2,0.00025031289111389235,4
2,0.00025031289111389235,4
2,0.00025031289111389235,11
2,0.00025031289111389235,6
2,0.00025031289111389235,6
2,0.00025031289111389235,6
2,0.00025031289111389235,7
2,0.00025031289111389235,5
2,0.00025031289111389235,3
2,0.00025031289111389235,2
2,0.00025031289111389235,5
2,0.00025031289111389235,6
2,0.00025031289111389235,3
2,0.00025031289111389235,5
2,0.00025031289111389235,3
2,0.00025031289111389235,4
2,0.00025031289111389235,5
2,0.00025031289111389235,6
2,0.00025031289111389235,6
2,0.00025031289111389235,6
2,0.00025031289111389235,5
2,0.00025031289111389235,4
2,0.00025031289111389235,8
2,0.00025031289111389235,7
2,0.00025031289111389235,7
2,0.00025031289111389235,5
2,0.00025031289111389235,6
2,0.00025031289111389235,4
2,0.00025031289111389235,5
2,0.00025031289111389235,5
2,0.00025031289111389235,12
2,0.00025031289111389235,5
2,0.00025031289111389235,5
2,0.00025031289111389235,6
2,0.00025031289111389235,4
2,0.00025031289111389235,5
2,0.00025031289111389235,10
2,0.00025031289111389235,5
2,0.00025031289111389235,6
2,0.00025031289111389235,5
2,0.00025031289111389235,5
2,0.00025031289111389235,3
2,0.00025031289111389235,7
2,0.00025031289111389235,8
2,0.00025031289111389235,3
2,0.00025031289111389235,4
2,0.00025031289111389235,5
2,0.00025031289111389235,9
2,0.00025031289111389235,8
2,0.00025031289111389235,6
2,0.00025031289111389235,8
2,0.00025031289111389235,8
2,0.00025031289111389235,3
2,0.00025031289111389235,5
2,0.00025031289111389235,6
2,0.00025031289111389235,5
2,0.00025031289111389235,4
2,0.00025031289111389235,5
2,0.00025031289111389235,5
2,0.00025031289111389235,9
2,0.00025031289111389235,5
2,0.00025031289111389235,5
2,0.00025031289111389235,4
2,0.00025031289111389235,7
2,0.00025031289111389235,6
2,0.00025031289111389235,5
2,0.00025031289111389235,3
2,0.00025031289111389235,7
2,0.00025031289111389235,5
2,0.00025031289111389235,8
2,0.00025031289111389235,6
2,0.00025031289111389235,6
2,0.00025031289111389235,5
2,0.00025031289111389235,5
2,0.00025031289111389235,7
2,0.00025031289111389235,3
2,0.00025031289111389235,6
2,0.00025031289111389235,6
2,0.00025031289111389235,7
2,0.00025031289111389235,4
2,0.00025031289111389235,10
2,0.00025031289111389235,4
2,0.00025031289111389235,4
2,0.00025031289111389235,5
2,0.00025031289111389235,7
2,0.00025031289111389235,6
2,0.00025031289111389235,5
2,0.00025031289111389235,4
2,0.00025031289111389235,5
2,0.00025031289111389235,7
2,0.00025031289111389235,6
2,0.00025031289111389235,5
2,0.00025031289111389235,7
2,0.00025031289111389235,8
2,0.00025031289111389235,8
2,0.00025031289111389235,4
2,0.00025031289111389235,6
2,0.00025031289111389235,19
2,0.00025031289111389235,6
2,0.00025031289111389235,5
2,0.00025031289111389235,6
2,0.00025031289111389235,3
2,0.00025031289111389235,4
2,0.00025031289111389235,6
2,0.00025031289111389235,7
2,0.00025031289111389235,6
2,0.00025031289111389235,5
2,0.00025031289111389235,4
2,0.00025031289111389235,6
2,0.00025031289111389235,3
2,0.00025031289111389235,4
2,0.00025031289111389235,7
2,0.00025031289111389235,5
2,0.00025031289111389235,11
2,0.00025031289111389235,5
2,0.00025031289111389235,5
2,0.00025031289111389235,4
2,0.00025031289111389235,7
2,0.00025031289111389235,5
2,0.00025031289111389235,6
2,0.00025031289111389235,5
2,0.00025031289111389235,7
2,0.00025031289111389235,6
2,0.00025031289111389235,4
2,0.00025031289111389235,5
2,0.00025031289111389235,5
2,0.00025031289111389235,4
2,0.00025031289111389235,4
2,0.00025031289111389235,3
2,0.00025031289111389235,10
2,0.00025031289111389235,4
2,0.00025031289111389235,6
2,0.00025031289111389235,4
2,0.00025031289111389235,5
2,0.00025031289111389235,5
2,0.00025031289111389235,5
2,0.00025031289111389235,5
2,0.00025031289111389235,3
2,0.00025031289111389235,4
2,0.00025031289111389235,5
2,0.00025031289111389235,9
2,0.00025031289111389235,7
2,0.00025031289111389235,7
2,0.00025031289111389235,5
2,0.00025031289111389235,4
2,0.00025031289111389235,6
2,0.00025031289111389235,4
2,0.00025031289111389235,2
2,0.00025031289111389235,5
2,0.00025031289111389235,21
2,0.00025031289111389235,6
2,0.00025031289111389235,23
2,0.00025031289111389235,8
2,0.00025031289111389235,11
2,0.00025031289111389235,8
2,0.00025031289111389235,6
2,0.00025031289111389235,6
2,0.00025031289111389235,5
2,0.00025031289111389235,8
2,0.00025031289111389235,5
2,0.00025031289111389235,4
2,0.00025031289111389235,9
2,0.00025031289111389235,5
2,0.00025031289111389235,7
2,0.00025031289111389235,8
2,0.00025031289111389235,4
2,0.00025031289111389235,8
2,0.00025031289111389235,8
2,0.00025031289111389235,7
2,0.00025031289111389235,8
2,0.00025031289111389235,4
2,0.00025031289111389235,4
2,0.00025031289111389235,3
2,0.00025031289111389235,5
2,0.00025031289111389235,1
2,0.00025031289111389235,2
2,0.00025031289111389235,2
2,0.00025031289111389235,3
2,0.00025031289111389235,5
2,0.00025031289111389235,6
2,0.00025031289111389235,6
2,0.00025031289111389235,11
2,0.00025031289111389235,10
2,0.00025031289111389235,3
2,0.00025031289111389235,5
2,0.00025031289111389235,4
2,0.00025031289111389235,5
2,0.00025031289111389235,5
2,0.00025031289111389235,6
2,0.00025031289111389235,5
2,0.00025031289111389235,7
2,0.00025031289111389235,4
2,0.00025031289111389235,6
2,0.00025031289111389235,7
2,0.00025031289111389235,4
2,0.00025031289111389235,4
2,0.00025031289111389235,6
2,0.00025031289111389235,4
2,0.00025031289111389235,7
2,0.00025031289111389235,5
2,0.00025031289111389235,5
2,0.00025031289111389235,4
2,0.00025031289111389235,5
2,0.00025031289111389235,8
2,0.00025031289111389235,2
2,0.00025031289111389235,4
2,0.00025031289111389235,7
2,0.00025031289111389235,3
2,0.00025031289111389235,3
2,0.00025031289111389235,7
2,0.00025031289111389235,4
2,0.00025031289111389235,4
2,0.00025031289111389235,3
2,0.00025031289111389235,1
2,0.00025031289111389235,2
2,0.00025031289111389235,7
2,0.00025031289111389235,5
2,0.00025031289111389235,8
2,0.00025031289111389235,5
2,0.00025031289111389235,11
2,0.00025031289111389235,6
2,0.00025031289111389235,6
2,0.00025031289111389235,3
2,0.00025031289111389235,4
2,0.00025031289111389235,11
2,0.00025031289111389235,5
2,0.00025031289111389235,3
2,0.00025031289111389235,4
2,0.00025031289111389235,4
2,0.00025031289111389235,3
2,0.00025031289111389235,4
2,0.00025031289111389235,6
2,0.00025031289111389235,4
2,0.00025031289111389235,5
2,0.00025031289111389235,8
2,0.00025031289111389235,5
